"454007161,2024-12-03T08:33:59Z,1403/09/13 12:03,سعید,sa110000000,twit,#ونیرو  ده روز گذشته یک سوم سهام شناور جابجا شده و سهامدار جدید وارد شده باید منتظر حرکت جدید سهم بود..."
"035228bc-cab5-4443-8e1b-1de4592facdc,,,,,desktop,"
"453959325,2024-12-01T09:34:07Z,1403/09/11 13:04,مرتضی ا,morteza-a-56,retwit,#حفارس \n\n>>> سهم حفارس امروز تیک نزولی رو گرفت...\n\nمشاهده تکنیکال سهم :\n/// برای دنبال کننده های آکانت🌺 مرتضی ا 🌺 moteza  🌺 در دسترس است....///"
"454007143,2024-12-03T08:33:45Z,1403/09/13 12:03,kaveh,kaveh83,twit,#وبرق یه تیکه الماس افتاده ته چاه🤚دارن درش میارن😘به زودی میاد بالا🤚"
"454007122,2024-12-03T08:33:13Z,1403/09/13 12:03,R.H,rezy5741pr,twit,#دی اختلاف پایانی با قیمت سهم زیاده و برای همین حجم کم میخوره و تا آخر وقت هم پایانی پر نمیشه با اختلاف بیشتر میمونه فقط بظاهر یک مثبت کاذب داشته باشه و نهایت بشه پایانی همان قیمت روی   ۷۳ ت"
"454007115,2024-12-03T08:33:05Z,1403/09/13 12:03,پارسا,parsa599,twit,#گکوثر \nدیگه زیر 300 بعید میدونم راه بده بخرید."
"454007103,2024-12-03T08:32:24Z,1403/09/13 12:02,Ah707@,sad330920,twit,#حشکوه امروز از نظر نمودار نمتواند به صف خرید برسد"
"454007100,2024-12-03T08:32:22Z,1403/09/13 12:02,میثم,mz007,quote,یعنی خدایی نقشه راه دادیم حرفی برای گفتن نیس."
"454007095,2024-12-03T08:32:16Z,1403/09/13 12:02,تریدر 1,bahraminanlo,twit,#اخابر امروز سنگین خریدم اخابر ممنون"
"454007087,2024-12-03T08:31:57Z,1403/09/13 12:01,ح م,msrasad,twit,#حفاری \nمن اگه یک لحظه خودم رو جای پول های درشت بزارم، سعی می کنم که در این مرحله از بازار، به دنبال خرید سهم هایی با P/E زیر 5 باشم. قطعا آدم هایی که پول درشت داشته باشند، وقت و حوصله خوبی رو جهت انتخاب سهم در اولین مرحله و خرید سهم به قیمت مناسب و پایین و به دور از عجله خواهند گذاشت. \nحالا فکرش رو بکنید که سهمی باشه که p/e زیر 3 داشته باشه، قراردادهاش دلاری باشه، از تسعیر نرخ ارز منتفع بشه و اندوخته ارزی خوبی داشته باشه، در پرونده قضایی، دادگاه به نفعش حکم داده باشه و مطالبه ارزی داشته باشه. از قطعی برق و گاز متضرر نشه و خیلی چیزهای دیگه. \nبه نظرتون حفاری انتخاب خوبی نیست! قطعا که هست! اما باید در نظر داشت که سهمی مثل حفاری با اراده بازیگر حرکت می کنه و وقتی که حرکتش شروع شد، کسی جلودارش نیست! پس لازمه که صبر داشته باشیم تا مزد صبوری مون رو دریافت کنیم.\nامیدوارم که بیان این دیدگاه ها به دوستان مثل abi و ... بر نخوره!!!"
"454007084,2024-12-03T08:31:53Z,1403/09/13 12:01,پارسا,parsa599,twit,#گکوثر \nآخرین تلاش ها برای پایین آوردن قیمت سهم.موقع خرید است."
