"453716840,2024-11-17T08:09:59Z,1403/08/27 11:39,alirezai,alitrader1,quote,#خودرو ینی این بشر از رو میره که دیگه پیام نده یا باز هر لحظه اینجاس به نظرتون ؟"
"3442b21e-d875-46d5-9468-61849e40234c,,,,,all,"
"453711938,2024-11-17T05:43:34Z,1403/08/27 09:13,Minaq,kyla12345,retwit,#شاخص_بورس \nسهم کوچیک = قفل صف خرید\nومشان بخرید فقط."
"453716816,2024-11-17T08:09:27Z,1403/08/27 11:39,jahan11,armanemankhodas,twit,#ثپردیس آفرین \nپایانی رو پر کن \nفردا هم صف فروش کن تا از فردا بخریمم 😂😂"
"453716811,2024-11-17T08:09:19Z,1403/08/27 11:39,مهتاب,mahtabnikrah,twit,#شاوان درود بر سهامداران فهیم و بزرگوار شاوان ، خوب چشممان روشن شد و حقوقی توجه ای  فرمودند ، امیدوارم روزهای بهتری پیش رو داشته باشیم ، پایدار باشید و حق نگهدارتان."
"453716806,2024-11-17T08:09:06Z,1403/08/27 11:39,Minaq,kyla12345,twit,حتماکمی از سهم ومشان هم بخرید."
"453716787,2024-11-17T08:08:30Z,1403/08/27 11:38,پر سود باشید,carsell1985,twit,#شاخص_بورس \nباز چند روز سبز شد دکترا های کلاه بردار پیداشون شد\nآفرین آرزو بفروشید"
"453716784,2024-11-17T08:08:24Z,1403/08/27 11:38,Khoorzookhan,ghoodrat,twit,#کرومیت \nآقا تا سهم به ۲ هزار تومن نرسه من یکی نمیفروشم"
"453716766,2024-11-17T08:07:52Z,1403/08/27 11:37,روزی حلال,mrst,twit,#فسوژ سلام رمز عوض شده .عدد۳۵۰ که یکیشو من خریدم.شاد باشید"
"453716755,2024-11-17T08:07:28Z,1403/08/27 11:37,reza,reza117799,quote,حال میکنید \nمهرکور توی هر سهمی بره ابودش میکنه"
"453716745,2024-11-17T08:07:15Z,1403/08/27 11:37,naeim.s,shabeakhar74nim,twit,#اهرم حجم خوردن کل بازار برای پودر کردن مقاومت۲.۲۰۰لازم و طبیعی بود\nخیلی عالی سهم ها دست به دست شد و افتاد دست خریداران جدید به امید سود و صعود عالی\nبا این حجم معاملات عالی و وضعیت شاخص خداروشکر راه هموار شد برای صعود میان مدتی و بلند مدتی"
